period,productName,activityId,activityName,countryRegionId,countryRegionName,value,unit
2022-12-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2022-11-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2022-10-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2022-09-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2022-08-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2022-07-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2022-06-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2022-05-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2022-04-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2022-03-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2022-02-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2022-01-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2020-12-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2020-11-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2020-10-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2020-09-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2020-08-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2020-07-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2020-06-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2020-05-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2020-04-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2020-03-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2020-02-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2020-01-01,Refined petroleum products,2,Consumption,AGO,Angola,,TBPD
2022-12-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2022-11-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2022-10-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2022-09-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2022-08-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2022-07-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2022-06-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2022-05-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2022-04-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2022-03-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2022-02-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2022-01-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2020-12-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2020-11-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2020-10-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2020-09-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2020-08-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2020-07-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2020-06-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2020-05-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2020-04-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2020-03-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2020-02-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2020-01-01,Refined petroleum products,2,Consumption,ARE,United Arab Emirates,,TBPD
2022-12-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2022-11-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2022-10-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2022-09-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2022-08-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2022-07-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2022-06-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2022-05-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2022-04-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2022-03-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2022-02-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2022-01-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2020-12-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2020-11-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2020-10-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2020-09-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2020-08-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2020-07-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2020-06-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2020-05-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2020-04-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2020-03-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
2020-02-01,Refined petroleum products,2,Consumption,BRA,Brazil,,TBPD
