period,originName,destinationId,gradeId,gradeName,quantity,quantity-units,originCode,originLat,originLon
2025-07-01,Angola,US,LSO,Light Sour,996,thousand barrels,AO,-11.202692,17.873887
2025-07-01,Angola,US,MED,Medium,1048,thousand barrels,AO,-11.202692,17.873887
2025-07-01,Argentina,US,HSW,Heavy Sweet,991,thousand barrels,AR,-38.416097,-63.616672
2025-07-01,Argentina,US,LSW,Light Sweet,4707,thousand barrels,AR,-38.416097,-63.616672
2025-07-01,Brazil,US,HSO,Heavy Sour,1101,thousand barrels,BR,-14.235004,-51.92528
2025-07-01,Brazil,US,HSW,Heavy Sweet,849,thousand barrels,BR,-14.235004,-51.92528
2025-07-01,Brazil,US,MED,Medium,6046,thousand barrels,BR,-14.235004,-51.92528
2025-07-01,Canada,US,HSO,Heavy Sour,94242,thousand barrels,CA,56.130366,-106.346771
2025-07-01,Canada,US,HSW,Heavy Sweet,611,thousand barrels,CA,56.130366,-106.346771
2025-07-01,Canada,US,LSO,Light Sour,2360,thousand barrels,CA,56.130366,-106.346771
2025-07-01,Canada,US,LSW,Light Sweet,2460,thousand barrels,CA,56.130366,-106.346771
2025-07-01,Canada,US,MED,Medium,26374,thousand barrels,CA,56.130366,-106.346771
2025-07-01,Colombia,US,HSO,Heavy Sour,7342,thousand barrels,CO,4.570868,-74.297333
2025-07-01,Ecuador,US,HSO,Heavy Sour,5330,thousand barrels,EC,-1.831239,-78.183406
2025-07-01,Gabon,US,MED,Medium,675,thousand barrels,GA,-0.803689,11.609444
2025-07-01,Ghana,US,MED,Medium,310,thousand barrels,GH,7.946527,-1.023194
2025-07-01,Guatemala,US,HSO,Heavy Sour,126,thousand barrels,GT,15.783471,-90.230759
2025-07-01,Guyana,US,LSW,Light Sweet,50,thousand barrels,GY,4.860416,-58.93018
2025-07-01,Guyana,US,MED,Medium,6180,thousand barrels,GY,4.860416,-58.93018
2025-07-01,Iraq,US,HSO,Heavy Sour,3097,thousand barrels,IQ,33.223191,43.679291
2025-07-01,Iraq,US,MED,Medium,4072,thousand barrels,IQ,33.223191,43.679291
2025-07-01,Kazakhstan,US,MED,Medium,4,thousand barrels,KZ,48.019573,66.923684
2025-07-01,Kuwait,US,HSO,Heavy Sour,431,thousand barrels,KW,29.31166,47.481766
2025-07-01,Libya,US,LSW,Light Sweet,1959,thousand barrels,LY,26.3351,17.228331
2025-07-01,Libya,US,MED,Medium,23,thousand barrels,LY,26.3351,17.228331
2025-07-01,Mexico,US,HSO,Heavy Sour,7449,thousand barrels,MX,23.634501,-102.552784
2025-07-01,Mexico,US,LSO,Light Sour,975,thousand barrels,MX,23.634501,-102.552784
2025-07-01,Mexico,US,MED,Medium,983,thousand barrels,MX,23.634501,-102.552784
2025-07-01,Nigeria,US,LSW,Light Sweet,1039,thousand barrels,NG,9.081999,8.675277
2025-07-01,Nigeria,US,MED,Medium,2680,thousand barrels,NG,9.081999,8.675277
2025-07-01,Saudi Arabia,US,HSO,Heavy Sour,295,thousand barrels,SA,23.885942,45.079162
2025-07-01,Saudi Arabia,US,MED,Medium,8832,thousand barrels,SA,23.885942,45.079162
2025-07-01,Senegal,US,MED,Medium,966,thousand barrels,SN,14.497401,-14.452362
2025-07-01,Trinidad and Tobago,US,HSO,Heavy Sour,480,thousand barrels,TT,10.691803,-61.222503
2025-07-01,United Kingdom,US,HSO,Heavy Sour,916,thousand barrels,GB,55.378051,-3.435973
2025-07-01,Venezuela,US,HSO,Heavy Sour,175,thousand barrels,VE,6.42375,-66.58973
2025-06-01,Angola,US,MED,Medium,1250,thousand barrels,AO,-11.202692,17.873887
2025-06-01,Argentina,US,LSW,Light Sweet,3604,thousand barrels,AR,-38.416097,-63.616672
2025-06-01,Brazil,US,HSO,Heavy Sour,2293,thousand barrels,BR,-14.235004,-51.92528
2025-06-01,Brazil,US,HSW,Heavy Sweet,814,thousand barrels,BR,-14.235004,-51.92528
2025-06-01,Brazil,US,MED,Medium,3977,thousand barrels,BR,-14.235004,-51.92528
2025-06-01,Canada,US,HSO,Heavy Sour,81736,thousand barrels,CA,56.130366,-106.346771
2025-06-01,Canada,US,HSW,Heavy Sweet,761,thousand barrels,CA,56.130366,-106.346771
2025-06-01,Canada,US,LSO,Light Sour,4291,thousand barrels,CA,56.130366,-106.346771
2025-06-01,Canada,US,LSW,Light Sweet,995,thousand barrels,CA,56.130366,-106.346771
2025-06-01,Canada,US,MED,Medium,22429,thousand barrels,CA,56.130366,-106.346771
2025-06-01,Colombia,US,HSO,Heavy Sour,5425,thousand barrels,CO,4.570868,-74.297333
2025-06-01,Ecuador,US,HSO,Heavy Sour,3564,thousand barrels,EC,-1.831239,-78.183406
2025-06-01,Gabon,US,LSW,Light Sweet,183,thousand barrels,GA,-0.803689,11.609444
2025-06-01,Ghana,US,LSW,Light Sweet,925,thousand barrels,GH,7.946527,-1.023194
2025-06-01,Guatemala,US,HSO,Heavy Sour,199,thousand barrels,GT,15.783471,-90.230759
2025-06-01,Guyana,US,HSW,Heavy Sweet,414,thousand barrels,GY,4.860416,-58.93018
2025-06-01,Guyana,US,MED,Medium,6077,thousand barrels,GY,4.860416,-58.93018
2025-06-01,Iraq,US,HSO,Heavy Sour,1506,thousand barrels,IQ,33.223191,43.679291
2025-06-01,Iraq,US,MED,Medium,4801,thousand barrels,IQ,33.223191,43.679291
2025-06-01,Kazakhstan,US,LSO,Light Sour,1378,thousand barrels,KZ,48.019573,66.923684
2025-06-01,Kuwait,US,HSO,Heavy Sour,350,thousand barrels,KW,29.31166,47.481766
2025-06-01,Libya,US,LSW,Light Sweet,2741,thousand barrels,LY,26.3351,17.228331
2025-06-01,Mexico,US,HSO,Heavy Sour,10788,thousand barrels,MX,23.634501,-102.552784
2025-06-01,Mexico,US,LSO,Light Sour,974,thousand barrels,MX,23.634501,-102.552784
2025-06-01,Mexico,US,MED,Medium,2086,thousand barrels,MX,23.634501,-102.552784
2025-06-01,Nigeria,US,LSW,Light Sweet,3133,thousand barrels,NG,9.081999,8.675277
2025-06-01,Nigeria,US,MED,Medium,4340,thousand barrels,NG,9.081999,8.675277
2025-06-01,Saudi Arabia,US,HSO,Heavy Sour,400,thousand barrels,SA,23.885942,45.079162
2025-06-01,Saudi Arabia,US,MED,Medium,8649,thousand barrels,SA,23.885942,45.079162
2025-06-01,Trinidad and Tobago,US,HSO,Heavy Sour,1048,thousand barrels,TT,10.691803,-61.222503
2025-06-01,Trinidad and Tobago,US,LSW,Light Sweet,378,thousand barrels,TT,10.691803,-61.222503
2025-06-01,United Kingdom,US,HSO,Heavy Sour,482,thousand barrels,GB,55.378051,-3.435973
2025-06-01,United Kingdom,US,MED,Medium,354,thousand barrels,GB,55.378051,-3.435973
2025-06-01,Venezuela,US,HSO,Heavy Sour,2594,thousand barrels,VE,6.42375,-66.58973
2025-05-01,Angola,US,MED,Medium,762,thousand barrels,AO,-11.202692,17.873887
2025-05-01,Argentina,US,HSW,Heavy Sweet,774,thousand barrels,AR,-38.416097,-63.616672
2025-05-01,Argentina,US,LSW,Light Sweet,2394,thousand barrels,AR,-38.416097,-63.616672
2025-05-01,Brazil,US,HSO,Heavy Sour,3609,thousand barrels,BR,-14.235004,-51.92528
