period,productName,activityId,activityName,countryRegionId,countryRegionName,value,unit
2025-07-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,194.053,MBBL
2025-06-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,187.54,MBBL
2025-05-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,184.636,MBBL
2025-04-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,192.766,MBBL
2025-03-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,188.058,MBBL
2025-02-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,185.127,MBBL
2025-01-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,188.771,MBBL
2024-12-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,194.606,MBBL
2024-11-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,190.932,MBBL
2024-10-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,189.406,MBBL
2024-09-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,189.547,MBBL
2024-08-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,192.035,MBBL
2024-07-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,190.997,MBBL
2024-06-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,201.476,MBBL
2024-05-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,197.971,MBBL
2024-04-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,205.984,MBBL
2024-03-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,198.863,MBBL
2024-02-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,193.74,MBBL
2024-01-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,198.468,MBBL
2023-12-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,197.101,MBBL
2023-11-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,195.493,MBBL
2023-10-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,188.543,MBBL
2023-09-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,185.44,MBBL
2023-08-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,188.171,MBBL
2023-07-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,183.314,MBBL
2023-06-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,179.957,MBBL
2023-05-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,183.226,MBBL
2023-04-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,190.036,MBBL
2023-03-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,188.283,MBBL
2023-02-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,186.028,MBBL
2023-01-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,188.454,MBBL
2022-12-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,199.832,MBBL
2022-11-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,195.577,MBBL
2022-10-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,191.004,MBBL
2022-09-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,188.105,MBBL
2022-08-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,192.15,MBBL
2022-07-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,189.087,MBBL
2022-06-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,186.101,MBBL
2022-05-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,187.126,MBBL
2022-04-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,189.188,MBBL
2022-03-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,185.737,MBBL
2022-02-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,188.231,MBBL
2022-01-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,191.26,MBBL
2021-12-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,201.746,MBBL
2021-11-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,208.818,MBBL
2021-10-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,208.802,MBBL
2021-09-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,204.296,MBBL
2021-08-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,207.134,MBBL
2021-07-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,209.131,MBBL
2021-06-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,201.676,MBBL
2021-05-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,198.474,MBBL
2021-04-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,199.242,MBBL
2021-03-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,197.893,MBBL
2021-02-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,195.989,MBBL
2021-01-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,203.882,MBBL
2020-12-01,Petroleum and other liquids,5,"Stocks, OECD",CAN,Canada,201.15,MBBL
