period,originName,destinationId,gradeId,gradeName,quantity,quantity-units
2010-01-01,Algeria,US,HSW,Heavy Sweet,345,thousand barrels
2010-01-01,Algeria,US,LSW,Light Sweet,9240,thousand barrels
2010-01-01,Algeria,US,MED,Medium,540,thousand barrels
2010-01-01,Angola,US,LSW,Light Sweet,5812,thousand barrels
2010-01-01,Angola,US,MED,Medium,3439,thousand barrels
2010-01-01,Argentina,US,HSW,Heavy Sweet,548,thousand barrels
2010-01-01,Azerbaijan,US,LSW,Light Sweet,950,thousand barrels
2010-01-01,Bolivia,US,LSW,Light Sweet,301,thousand barrels
2010-01-01,Brazil,US,HSO,Heavy Sour,6530,thousand barrels
2010-01-01,Brazil,US,HSW,Heavy Sweet,383,thousand barrels
2010-01-01,Brazil,US,LSW,Light Sweet,387,thousand barrels
2010-01-01,Brazil,US,MED,Medium,1093,thousand barrels
2010-01-01,Cameroon,US,HSW,Heavy Sweet,1924,thousand barrels
2010-01-01,Canada,US,HSO,Heavy Sour,31620,thousand barrels
2010-01-01,Canada,US,HSW,Heavy Sweet,1289,thousand barrels
2010-01-01,Canada,US,LSO,Light Sour,3910,thousand barrels
2010-01-01,Canada,US,LSW,Light Sweet,7748,thousand barrels
2010-01-01,Canada,US,MED,Medium,13486,thousand barrels
2010-01-01,Chad,US,HSW,Heavy Sweet,1430,thousand barrels
2010-01-01,Colombia,US,HSO,Heavy Sour,7428,thousand barrels
2010-01-01,Colombia,US,LSW,Light Sweet,796,thousand barrels
2010-01-01,Colombia,US,MED,Medium,865,thousand barrels
2010-01-01,Congo-Brazzaville,US,LSW,Light Sweet,1347,thousand barrels
2010-01-01,Ecuador,US,HSO,Heavy Sour,6650,thousand barrels
2010-01-01,Equatorial Guinea,US,LSW,Light Sweet,647,thousand barrels
2010-01-01,Equatorial Guinea,US,MED,Medium,995,thousand barrels
2010-01-01,Gabon,US,LSW,Light Sweet,597,thousand barrels
2010-01-01,Gabon,US,MED,Medium,3790,thousand barrels
2010-01-01,Guatemala,US,HSW,Heavy Sweet,277,thousand barrels
2010-01-01,Indonesia,US,HSW,Heavy Sweet,916,thousand barrels
2010-01-01,Iraq,US,MED,Medium,16199,thousand barrels
2010-01-01,Kuwait,US,HSO,Heavy Sour,701,thousand barrels
2010-01-01,Kuwait,US,MED,Medium,1357,thousand barrels
2010-01-01,Libya,US,LSW,Light Sweet,1169,thousand barrels
2010-01-01,Malaysia,US,MED,Medium,382,thousand barrels
2010-01-01,Mauritania,US,MED,Medium,330,thousand barrels
2010-01-01,Mexico,US,HSO,Heavy Sour,25193,thousand barrels
2010-01-01,Mexico,US,LSO,Light Sour,5651,thousand barrels
2010-01-01,Mexico,US,LSW,Light Sweet,345,thousand barrels
2010-01-01,Mexico,US,MED,Medium,1166,thousand barrels
2010-01-01,Nigeria,US,LSO,Light Sour,947,thousand barrels
2010-01-01,Nigeria,US,LSW,Light Sweet,18619,thousand barrels
2010-01-01,Nigeria,US,MED,Medium,12367,thousand barrels
2010-01-01,Peru,US,HSO,Heavy Sour,450,thousand barrels
2010-01-01,Russia,US,HSO,Heavy Sour,1370,thousand barrels
2010-01-01,Russia,US,LSW,Light Sweet,717,thousand barrels
2010-01-01,Russia,US,MED,Medium,2171,thousand barrels
2010-01-01,Saudi Arabia,US,HSO,Heavy Sour,228,thousand barrels
2010-01-01,Saudi Arabia,US,LSO,Light Sour,3664,thousand barrels
2010-01-01,Saudi Arabia,US,MED,Medium,25575,thousand barrels
2010-01-01,Thailand,US,LSW,Light Sweet,862,thousand barrels
2010-01-01,Trinidad and Tobago,US,LSW,Light Sweet,1260,thousand barrels
2010-01-01,Trinidad and Tobago,US,MED,Medium,367,thousand barrels
2010-01-01,United Kingdom,US,HSO,Heavy Sour,516,thousand barrels
2010-01-01,United Kingdom,US,LSO,Light Sour,2028,thousand barrels
2010-01-01,United Kingdom,US,LSW,Light Sweet,2207,thousand barrels
2010-01-01,Venezuela,US,HSO,Heavy Sour,26899,thousand barrels
2010-01-01,Venezuela,US,HSW,Heavy Sweet,593,thousand barrels
2010-01-01,Venezuela,US,LSO,Light Sour,393,thousand barrels
2010-01-01,Venezuela,US,LSW,Light Sweet,622,thousand barrels
2010-01-01,Venezuela,US,MED,Medium,3808,thousand barrels
2010-01-01,Vietnam,US,LSW,Light Sweet,1129,thousand barrels
2010-02-01,Algeria,US,LSO,Light Sour,413,thousand barrels
